AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2020,18.02,2941.1,97.0,2.21,16.65,45.0,6.83,0.811,125.9,63.7,66.8,0.894,29.49,0,0,400.4
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2021,18.91,2799.2,94.9,2.96,22.35,45.0,6.4,0.578,87.8,33.6,45.9,0.38,19.02,0,0,501.5
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2022,18.5,2883.8,90.0,3.91,13.97,45.0,6.7,0.577,75.3,73.8,70.9,0.62,16.57,0,0,484.5
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2023,19.62,3576.2,97.0,2.98,14.25,45.0,6.03,0.208,106.2,52.5,73.7,0.798,18.28,0,1,238.9
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2024,21.03,3101.7,97.0,2.96,17.11,45.0,6.41,0.467,146.4,30.1,62.6,1.186,17.8,0,0,579.0
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2000,18.31,3225.0,97.0,2.8,20.98,45.0,6.52,0.336,132.9,57.8,38.8,1.248,22.51,0,1,7618.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2001,18.64,2781.6,97.0,4.34,16.44,45.0,6.27,0.72,129.3,78.2,30.2,1.371,12.77,0,1,10054.4
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2002,19.9,3280.3,97.0,2.11,16.61,45.0,6.97,0.392,124.0,66.0,53.4,1.04,27.47,0,1,9477.3
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2003,19.6,3245.9,97.0,1.27,21.85,45.0,6.26,0.456,53.9,48.1,34.7,1.048,9.53,0,1,9359.4
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2004,18.98,3059.2,96.6,2.05,14.61,45.0,6.4,0.615,67.6,50.2,31.6,0.948,29.55,0,1,9079.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2005,18.37,2742.5,87.6,1.42,20.18,45.0,6.43,0.526,112.7,80.2,34.7,0.798,13.52,0,1,9280.4
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2006,17.61,2855.7,89.5,1.61,19.41,45.0,5.9,0.84,117.5,35.2,40.8,0.83,14.22,0,1,9418.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2007,16.68,3203.9,97.0,2.19,18.45,45.0,6.48,0.733,130.8,18.4,67.2,1.583,24.24,0,1,9454.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2008,17.25,3089.0,96.5,2.19,20.9,45.0,6.33,0.268,105.2,56.6,34.4,0.684,29.68,0,1,7092.9
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2009,17.68,2930.2,97.0,4.07,19.0,45.0,6.19,0.863,82.7,81.2,66.2,0.921,22.24,0,1,9338.1
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2010,20.57,2874.4,97.0,2.34,15.7,45.0,6.29,0.453,62.1,38.0,66.8,1.489,22.26,0,1,10111.9
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2011,18.32,3098.5,97.0,1.84,15.03,45.0,6.24,0.437,121.6,50.3,60.3,0.898,16.56,0,1,8827.2
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2012,18.73,2962.6,97.0,3.12,19.94,45.0,5.55,0.571,97.6,58.1,38.2,0.746,23.06,0,1,8506.6
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2013,17.67,3423.2,97.0,2.2,20.49,45.0,6.96,0.606,85.9,48.3,33.5,0.958,19.41,0,1,8277.4
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2014,18.37,2274.2,89.7,1.27,18.73,45.0,6.54,0.572,104.6,52.6,36.8,0.725,12.82,0,1,9209.1
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2015,19.0,3336.2,97.0,2.65,17.49,45.0,6.81,0.698,89.8,41.0,69.9,0.816,16.61,0,1,9774.2
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2016,20.24,3239.0,97.0,4.25,19.18,45.0,6.31,0.367,70.0,62.3,50.9,0.828,11.33,0,1,7942.6
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2017,18.71,2781.3,97.0,3.41,26.0,45.0,6.1,0.476,20.0,44.3,42.3,1.19,22.03,0,1,8480.9
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2018,19.34,3268.3,97.0,1.85,16.63,45.0,7.21,0.909,132.6,33.4,47.6,0.83,18.84,0,1,9130.6
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2019,19.71,3025.4,97.0,2.77,17.12,45.0,6.18,0.813,101.9,60.3,39.1,0.454,23.8,0,1,8201.5
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2020,19.91,3212.9,93.3,1.94,16.46,45.0,5.81,0.798,102.8,61.9,38.5,0.992,13.85,0,1,9331.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2021,19.83,3126.6,97.0,1.84,18.5,45.0,6.27,0.496,126.3,99.7,40.5,1.001,20.62,0,1,8017.7
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2022,19.36,2953.8,97.0,2.42,15.67,45.0,6.48,0.538,108.4,30.6,41.6,1.133,30.18,0,1,9651.5
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2023,19.55,3388.5,97.0,3.76,21.25,45.0,6.53,0.686,119.1,58.6,33.3,0.269,14.33,0,1,7476.0
Hill Zone,Darjeeling,Darjeeling Sadar,Potato,2024,19.36,3117.3,91.7,3.08,20.6,45.0,7.23,1.024,73.8,73.7,51.6,1.025,23.97,0,1,9160.0
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2000,17.91,2926.1,94.4,2.53,13.64,45.0,6.69,0.636,121.5,21.0,33.2,0.733,18.56,0,1,8543.5
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2001,19.62,3102.9,97.0,2.61,20.12,45.0,6.96,0.742,114.6,55.8,52.8,1.205,24.03,0,1,13759.5
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2002,19.59,3143.5,97.0,2.58,11.77,45.0,6.45,0.416,104.1,39.1,76.5,1.049,8.95,0,1,13004.8
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2003,18.21,3557.1,97.0,1.03,18.2,45.0,6.19,0.222,122.8,85.1,16.4,1.251,14.95,0,1,9720.2
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2004,19.16,3073.1,97.0,2.97,16.22,45.0,6.14,0.292,170.9,48.7,35.9,1.002,9.0,0,1,10537.3
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2005,18.16,2996.7,97.0,3.39,16.58,45.0,6.7,0.433,116.9,38.0,61.0,1.037,18.46,0,1,8694.7
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2006,18.87,2939.8,97.0,2.52,15.56,45.0,6.76,0.531,144.9,49.6,40.4,0.937,13.84,0,1,11262.5
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2007,18.6,3468.2,97.0,2.42,22.83,45.0,6.59,0.827,118.8,98.5,48.7,0.541,26.19,0,1,9270.6
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2008,18.47,2428.2,97.0,3.17,20.4,45.0,7.25,0.641,138.1,41.6,39.7,1.217,20.71,0,0,22426.1
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2009,19.23,3074.2,96.2,2.9,16.79,45.0,5.84,1.004,64.6,59.0,54.2,1.092,11.01,0,1,11915.9
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2010,19.02,3300.3,97.0,1.79,21.01,45.0,6.59,0.528,122.2,57.0,57.6,0.525,19.06,0,1,10065.9
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2011,17.67,3165.9,97.0,2.31,19.19,45.0,6.37,0.736,118.5,74.4,27.0,0.448,19.79,0,1,7646.7
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2012,21.26,3258.1,97.0,3.16,15.46,45.0,7.7,0.715,131.4,65.1,72.2,0.985,25.67,0,1,16393.4
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2013,17.42,3444.4,97.0,2.96,18.68,45.0,6.06,0.958,129.8,64.1,50.6,1.214,21.39,0,1,7881.9
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2014,17.7,3233.6,97.0,2.24,17.61,45.0,6.88,0.775,61.5,64.0,27.2,0.653,21.65,0,1,7000.8
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2015,19.9,3840.3,97.0,3.11,15.31,45.0,5.87,0.543,77.2,43.1,41.9,0.6,9.85,0,1,10514.6
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2016,19.54,3130.0,97.0,3.33,16.98,45.0,5.68,1.107,145.9,51.1,27.6,1.014,7.14,0,1,12573.3
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2017,19.9,3133.6,97.0,3.27,14.88,45.0,6.15,0.481,123.9,37.1,73.5,0.725,30.3,0,1,12081.1
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2018,19.77,2840.4,89.6,2.71,20.03,44.88,6.99,0.49,113.9,61.8,53.9,0.361,28.07,0,0,18319.4
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2019,18.67,2880.7,88.0,1.65,19.63,45.0,5.83,0.545,156.9,49.0,36.2,1.305,21.13,0,1,11967.1
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2020,18.49,2759.2,89.4,2.26,17.34,45.0,6.68,0.695,116.6,36.9,12.7,0.744,12.64,0,0,14796.3
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2021,18.89,2830.2,90.8,2.53,18.35,45.0,6.65,0.606,79.4,55.7,73.2,0.698,25.36,0,0,17363.3
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2022,20.87,2927.1,97.0,2.68,17.24,45.0,6.7,0.66,104.7,78.1,34.2,0.587,23.12,0,1,17410.8
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2023,20.46,2869.7,97.0,2.94,23.29,45.0,6.51,0.594,62.3,42.1,61.9,0.759,14.02,0,0,21893.9
Hill Zone,Darjeeling,Darjeeling Sadar,Sugarcane,2024,20.37,3343.2,97.0,2.56,21.09,45.0,6.03,0.816,156.9,34.3,6.0,0.465,12.29,0,1,13413.1
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2000,19.24,3082.6,97.0,2.71,15.11,45.0,6.08,1.186,134.5,40.0,30.0,0.769,8.49,0,1,517.5
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2001,17.78,3319.6,97.0,2.05,13.98,45.0,6.37,0.607,144.0,43.7,60.9,0.977,18.33,0,1,416.2
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2002,17.2,3286.8,97.0,2.74,20.29,45.0,6.21,0.517,139.2,61.2,41.5,0.801,21.7,0,1,428.3
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2003,17.74,3510.9,97.0,2.61,22.43,45.0,6.36,0.757,77.9,43.5,11.1,1.266,6.97,0,1,460.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2004,17.77,2891.1,97.0,2.79,19.84,45.0,6.58,0.826,92.0,67.8,47.3,0.761,17.78,0,1,455.7
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2005,18.92,3208.6,97.0,2.08,20.24,45.0,6.09,0.961,28.8,42.5,55.3,0.405,33.95,0,1,374.0
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2006,20.32,3474.4,97.0,2.44,19.07,45.0,6.8,0.426,101.8,72.9,28.3,0.791,19.35,0,1,488.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2007,20.05,3194.6,93.8,2.57,15.67,45.0,6.44,0.508,138.9,42.3,59.7,0.887,23.49,0,1,540.7
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2008,18.25,2851.2,97.0,3.26,24.36,45.0,6.52,0.608,121.7,54.5,67.0,1.183,13.34,0,1,492.7
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2009,20.34,3187.1,97.0,3.43,16.84,45.0,6.17,0.258,135.9,33.2,36.5,0.677,22.72,0,1,507.8
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2010,18.88,2730.0,95.4,1.57,18.92,45.0,6.39,1.059,125.8,65.7,47.1,0.842,24.16,0,1,582.6
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2011,17.46,3358.8,97.0,3.27,19.4,45.0,5.81,1.015,117.6,29.5,50.2,0.791,7.3,0,1,375.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2012,17.16,3178.8,97.0,2.43,18.85,45.0,5.35,0.59,85.2,32.8,36.8,0.863,16.76,0,1,342.3
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2013,18.42,3579.9,97.0,1.42,18.83,45.0,6.63,0.426,139.9,40.9,28.0,0.717,17.71,0,1,481.8
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2014,19.67,3111.1,97.0,2.66,20.69,45.0,5.61,0.805,68.3,49.6,43.5,0.754,15.64,0,1,539.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2015,16.23,3319.5,97.0,2.62,17.94,45.0,7.31,0.412,112.6,51.6,53.4,0.948,22.32,0,1,342.6
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2016,19.1,2962.1,95.4,2.5,17.57,45.0,7.19,0.623,68.5,74.8,33.8,1.052,18.26,0,1,510.0
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2017,19.26,2984.0,97.0,4.02,11.29,45.0,6.62,0.44,68.9,93.9,39.4,1.524,21.57,0,1,560.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2018,19.63,3262.3,97.0,2.91,18.43,45.0,7.08,0.813,79.9,43.6,50.0,0.713,16.1,0,1,478.5
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2019,18.85,3213.7,97.0,2.61,24.22,45.0,8.0,0.85,124.9,46.0,5.0,0.853,19.43,0,1,527.5
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2020,17.65,3554.6,97.0,3.11,10.38,45.0,6.23,0.786,112.7,34.4,59.2,1.108,21.94,0,1,493.9
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2021,20.4,3111.2,93.5,1.63,22.05,45.0,6.45,0.563,110.9,55.4,39.9,0.69,31.35,0,1,549.0
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2022,18.56,2816.8,92.9,3.1,20.28,45.0,6.43,0.589,76.8,78.4,50.6,1.643,13.82,0,1,541.5
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2023,20.22,3059.9,92.6,1.94,18.3,45.0,6.35,0.851,139.8,60.8,45.4,0.824,21.67,0,1,616.5
Hill Zone,Darjeeling,Darjeeling Sadar,Mustard,2024,19.35,3219.8,97.0,1.61,15.0,45.0,6.62,0.968,111.7,70.6,64.8,1.198,14.71,0,1,587.4
Hill Zone,Darjeeling,Darjeeling North,Rice,2000,19.1,3346.8,97.0,3.98,17.13,45.0,6.28,0.508,122.5,55.4,69.9,1.082,21.59,0,1,830.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2001,17.05,3090.7,96.3,3.27,17.91,45.0,6.77,0.817,116.9,58.8,54.8,1.177,14.1,0,1,558.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2002,21.52,3090.6,97.0,2.12,13.65,45.0,6.43,0.71,165.3,100.2,31.7,1.216,22.1,0,1,1470.2
Hill Zone,Darjeeling,Darjeeling North,Rice,2003,19.2,3106.3,97.0,3.03,19.04,45.0,6.85,0.743,119.9,86.7,52.7,0.874,13.23,0,1,855.8
Hill Zone,Darjeeling,Darjeeling North,Rice,2004,17.55,3136.7,97.0,1.17,18.06,45.0,6.48,0.46,148.1,42.5,26.6,0.577,18.29,0,1,569.6
Hill Zone,Darjeeling,Darjeeling North,Rice,2005,20.01,3160.0,95.3,2.14,15.31,45.0,5.51,0.673,129.4,52.3,51.9,0.619,9.64,0,1,902.0
Hill Zone,Darjeeling,Darjeeling North,Rice,2006,20.03,3348.4,97.0,3.44,17.03,45.0,6.64,0.56,133.9,41.1,31.0,0.465,19.91,0,1,910.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2007,18.7,3017.0,97.0,2.3,15.83,45.0,7.11,0.718,57.8,44.2,54.2,0.905,27.68,0,1,664.0
Hill Zone,Darjeeling,Darjeeling North,Rice,2008,19.56,2967.1,97.0,2.55,21.09,45.0,5.7,0.428,91.8,36.6,63.0,1.302,20.0,0,1,858.3
Hill Zone,Darjeeling,Darjeeling North,Rice,2009,18.72,2953.5,97.0,2.82,19.47,45.0,5.39,0.496,76.5,61.7,46.4,0.66,16.03,0,1,760.8
Hill Zone,Darjeeling,Darjeeling North,Rice,2010,17.82,2900.1,97.0,2.11,16.71,45.0,7.27,0.294,109.5,55.7,43.7,0.844,16.32,0,1,631.7
Hill Zone,Darjeeling,Darjeeling North,Rice,2011,18.4,3082.0,97.0,2.68,17.49,45.0,6.4,0.685,108.5,36.9,32.6,0.585,19.52,0,1,633.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2012,17.77,3166.0,97.0,1.37,23.07,45.0,6.35,0.863,112.1,44.1,77.9,0.578,17.77,0,1,630.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2013,17.79,3087.8,97.0,4.28,15.32,45.0,6.73,0.666,73.9,62.3,46.6,1.034,25.15,0,1,648.1
Hill Zone,Darjeeling,Darjeeling North,Rice,2014,19.45,3182.7,96.1,2.51,18.66,45.0,6.45,0.485,156.0,93.7,39.2,1.02,16.96,0,1,998.6
Hill Zone,Darjeeling,Darjeeling North,Rice,2015,19.51,3129.1,97.0,2.69,15.0,45.0,6.04,0.757,113.9,74.7,44.7,1.207,12.83,0,1,993.5
Hill Zone,Darjeeling,Darjeeling North,Rice,2016,18.81,3155.9,97.0,3.26,11.94,45.0,5.65,0.891,50.8,36.9,19.9,1.392,10.63,0,1,739.0
Hill Zone,Darjeeling,Darjeeling North,Rice,2017,18.5,2697.3,93.4,3.06,17.45,45.0,6.22,0.651,98.5,61.2,73.5,1.009,19.53,0,0,1091.4
Hill Zone,Darjeeling,Darjeeling North,Rice,2018,18.29,3448.0,97.0,1.96,17.71,45.0,7.38,0.177,120.8,67.8,28.2,0.707,20.96,0,1,661.0
Hill Zone,Darjeeling,Darjeeling North,Rice,2019,18.14,2748.1,97.0,3.67,16.99,40.68,7.13,0.61,143.7,54.2,39.4,0.764,27.2,0,1,757.9
Hill Zone,Darjeeling,Darjeeling North,Rice,2020,16.83,2895.9,97.0,2.34,13.92,45.0,6.35,0.631,95.6,49.4,38.2,1.0,13.48,0,1,492.3
Hill Zone,Darjeeling,Darjeeling North,Rice,2021,19.05,3411.6,97.0,2.52,19.61,45.0,6.94,0.751,163.8,79.2,44.4,0.776,23.66,0,1,854.8
Hill Zone,Darjeeling,Darjeeling North,Rice,2022,19.13,2771.6,85.6,2.84,20.31,45.0,5.76,0.857,94.0,62.0,51.3,0.659,14.81,0,1,764.6
Hill Zone,Darjeeling,Darjeeling North,Rice,2023,18.26,2696.7,97.0,2.64,20.74,45.0,6.08,0.719,98.3,66.0,49.7,0.603,18.37,0,0,1011.2
Hill Zone,Darjeeling,Darjeeling North,Rice,2024,18.96,3317.1,97.0,2.34,16.95,45.0,6.34,0.563,45.2,60.2,53.9,0.68,16.12,0,1,683.2
Hill Zone,Darjeeling,Darjeeling North,Wheat,2000,19.42,2762.3,94.6,3.97,18.15,45.0,6.33,0.415,109.0,62.3,29.7,1.002,25.83,0,1,1502.9
Hill Zone,Darjeeling,Darjeeling North,Wheat,2001,16.87,2887.0,88.6,3.35,19.83,45.0,5.96,0.417,112.3,56.8,32.2,0.943,22.23,0,1,1140.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2002,17.49,2625.4,92.8,2.72,17.22,45.0,6.05,0.793,108.4,57.2,30.4,0.714,19.34,0,1,1146.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2003,17.28,3035.6,97.0,2.73,22.38,45.0,6.24,0.372,92.7,80.8,49.9,1.12,22.59,0,1,1238.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2004,18.47,3138.7,97.0,2.92,19.48,45.0,6.02,0.598,81.8,73.1,13.5,0.835,32.68,0,1,1254.4
Hill Zone,Darjeeling,Darjeeling North,Wheat,2005,17.48,3107.1,97.0,2.49,19.84,45.0,6.21,1.28,112.1,45.3,37.7,1.014,20.82,0,1,1419.1
Hill Zone,Darjeeling,Darjeeling North,Wheat,2006,18.91,2782.0,97.0,2.38,17.14,43.71,6.11,0.505,108.9,28.8,45.8,0.937,11.64,0,1,1275.5
Hill Zone,Darjeeling,Darjeeling North,Wheat,2007,17.84,3320.0,89.6,2.36,13.02,45.0,6.82,0.524,114.2,39.8,74.1,1.174,25.12,0,1,1232.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2008,17.61,3359.6,97.0,2.42,19.0,45.0,6.79,0.654,124.4,42.9,52.7,0.689,24.09,0,1,1321.5
Hill Zone,Darjeeling,Darjeeling North,Wheat,2009,19.85,3230.1,97.0,0.71,20.5,45.0,6.45,0.593,68.3,45.3,54.9,1.325,14.62,0,1,1412.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2010,20.47,2908.3,97.0,2.64,15.35,45.0,7.25,0.363,156.8,49.9,67.3,0.786,8.9,0,1,1476.0
Hill Zone,Darjeeling,Darjeeling North,Wheat,2011,19.93,3593.3,97.0,3.09,17.29,45.0,6.25,0.484,101.8,10.0,47.7,0.891,33.76,0,1,1418.1
Hill Zone,Darjeeling,Darjeeling North,Wheat,2012,18.41,3241.2,96.3,2.18,12.4,45.0,6.7,0.415,108.2,72.1,52.4,1.015,13.21,0,1,1314.2
Hill Zone,Darjeeling,Darjeeling North,Wheat,2013,19.07,3322.9,97.0,1.82,21.43,45.0,6.94,0.699,136.4,86.4,55.3,1.133,12.85,0,1,1463.1
Hill Zone,Darjeeling,Darjeeling North,Wheat,2014,19.71,3464.2,97.0,4.22,18.93,45.0,6.9,0.654,108.1,36.1,59.9,0.578,21.43,0,1,1253.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2015,20.23,2874.6,97.0,1.49,16.68,45.0,6.0,0.663,95.6,13.4,49.6,1.03,11.71,0,1,1459.5
Hill Zone,Darjeeling,Darjeeling North,Wheat,2016,18.18,2880.5,97.0,2.12,24.88,44.63,6.77,0.848,50.6,23.8,53.4,0.756,20.66,0,1,1294.0
Hill Zone,Darjeeling,Darjeeling North,Wheat,2017,18.68,2866.6,81.6,2.74,15.21,45.0,6.52,0.373,161.7,74.5,57.7,0.545,15.92,0,1,1301.1
Hill Zone,Darjeeling,Darjeeling North,Wheat,2018,18.66,2852.7,97.0,2.76,19.1,45.0,7.05,0.688,27.9,43.5,44.1,1.19,16.56,0,1,1256.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2019,18.42,3264.3,97.0,2.18,15.77,45.0,6.13,0.315,128.7,42.4,50.4,1.012,25.58,0,1,1408.0
Hill Zone,Darjeeling,Darjeeling North,Wheat,2020,18.55,3073.0,93.4,3.77,19.32,45.0,6.24,0.24,156.0,56.7,47.0,0.917,22.23,0,1,1388.9
Hill Zone,Darjeeling,Darjeeling North,Wheat,2021,17.46,3361.3,97.0,2.27,23.18,45.0,6.23,0.279,114.8,64.7,43.8,0.526,13.62,0,1,1053.9
Hill Zone,Darjeeling,Darjeeling North,Wheat,2022,19.47,3299.7,97.0,2.09,18.71,45.0,6.14,0.62,173.7,58.7,58.2,0.77,18.61,0,1,1322.2
Hill Zone,Darjeeling,Darjeeling North,Wheat,2023,19.24,3385.5,97.0,3.44,20.06,45.0,6.1,0.618,128.4,40.9,59.0,0.605,7.68,0,1,1285.7
Hill Zone,Darjeeling,Darjeeling North,Wheat,2024,17.47,2795.6,97.0,2.46,18.66,45.0,7.03,0.549,149.9,61.9,45.0,1.033,9.81,0,1,1225.3
Hill Zone,Darjeeling,Darjeeling North,Maize,2000,18.46,3251.5,97.0,2.51,20.91,45.0,6.78,0.904,97.9,49.5,49.8,0.81,15.32,0,1,1082.9
Hill Zone,Darjeeling,Darjeeling North,Maize,2001,18.39,2889.1,97.0,3.89,18.24,45.0,6.18,0.552,89.3,52.4,72.5,0.553,28.18,0,1,850.4
Hill Zone,Darjeeling,Darjeeling North,Maize,2002,18.38,3303.5,97.0,2.8,13.05,45.0,5.89,1.164,103.6,58.4,27.8,0.756,10.61,0,1,1034.2
Hill Zone,Darjeeling,Darjeeling North,Maize,2003,18.38,3240.7,97.0,2.25,21.86,45.0,5.5,0.731,75.8,47.1,58.7,0.654,23.63,0,1,852.8
Hill Zone,Darjeeling,Darjeeling North,Maize,2004,20.34,3416.0,97.0,2.45,15.5,45.0,6.97,0.361,137.5,31.2,32.1,0.364,30.99,0,1,1146.6
Hill Zone,Darjeeling,Darjeeling North,Maize,2005,19.0,2955.8,97.0,1.13,18.08,45.0,6.21,0.653,130.2,40.4,45.3,1.188,19.53,0,1,1145.8
Hill Zone,Darjeeling,Darjeeling North,Maize,2006,18.37,3183.9,97.0,3.62,20.17,45.0,5.18,0.793,132.7,38.5,15.0,0.557,23.92,0,1,817.0
Hill Zone,Darjeeling,Darjeeling North,Maize,2007,18.28,3162.0,97.0,2.59,17.7,45.0,7.22,0.863,107.1,29.9,33.1,1.074,14.03,0,1,994.0
Hill Zone,Darjeeling,Darjeeling North,Maize,2008,19.22,3178.6,97.0,2.95,15.43,45.0,7.57,0.408,95.8,74.2,42.6,0.656,10.42,0,1,1039.8
Hill Zone,Darjeeling,Darjeeling North,Maize,2009,19.97,3433.2,97.0,3.33,14.9,45.0,6.06,0.685,132.5,74.3,30.2,1.28,15.51,0,1,1252.3
Hill Zone,Darjeeling,Darjeeling North,Maize,2010,18.69,2774.9,96.7,2.8,17.4,45.0,6.24,0.651,66.8,55.8,32.2,0.765,17.8,0,1,962.8
Hill Zone,Darjeeling,Darjeeling North,Maize,2011,17.1,2751.7,94.5,2.93,19.08,45.0,7.05,0.749,109.4,36.4,30.8,0.76,19.96,0,1,717.9
Hill Zone,Darjeeling,Darjeeling North,Maize,2012,18.94,3076.1,97.0,2.75,18.89,45.0,6.13,0.444,124.7,62.5,41.7,0.775,32.03,0,1,978.6
Hill Zone,Darjeeling,Darjeeling North,Maize,2013,18.73,3172.3,95.7,2.68,23.39,45.0,6.72,0.768,113.4,72.3,42.7,0.773,18.97,0,1,1093.5
Hill Zone,Darjeeling,Darjeeling North,Maize,2014,19.36,3266.4,91.9,3.44,25.02,45.0,6.24,0.48,118.3,37.2,55.9,0.742,24.12,0,1,1177.5
Hill Zone,Darjeeling,Darjeeling North,Maize,2015,16.79,3178.6,97.0,1.61,16.15,45.0,6.92,0.346,141.5,91.3,54.0,1.064,18.28,0,1,657.2
Hill Zone,Darjeeling,Darjeeling North,Maize,2016,19.65,3199.6,97.0,4.4,20.18,45.0,7.18,0.381,75.7,48.2,35.2,1.108,16.46,0,1,1226.9
Hill Zone,Darjeeling,Darjeeling North,Maize,2017,20.76,3288.4,97.0,3.03,20.43,45.0,6.57,0.791,116.5,83.3,63.2,0.652,19.11,0,1,1336.6
